"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"穴","あな","hole, opening, orifice, perforation; pit, hollow, cavity, hole (e.g. in the ground); burrow, den, lair, holt, hole; deficit, shortage, (financial) hole, loss; gap (left by a missing employee, team member, etc.), vacancy, opening; flaw, fault, defect, weak point, hole (in a theory, plan, etc.), loophole; good place not many people know about, well-kept secret; upset victory (with a large payoff), long shot, dark horse; (partitioned) box (type of floor seating in a traditional Japanese theatre); hiding place, hideout"
"浴びる","あびる","to dash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in; to suffer (e.g. an attack), to draw (e.g. criticism, attention, praise), to have heaped upon, to be showered with"
"油","あぶら","oil"
"余り","あまり, あんまり","remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers; (not) very, (not) much; too much, excessively, overly; extreme, great, severe, tremendous, terrible; not very good, so-so, mediocre; more than, over"
"誤り","あやまり","error, mistake, slip, bug"
"粗","あら, アラ","remaining bony parts (of a fish after filleting); flaw (esp. of a person), fault, defect; rice chaff; rough; crude, raw, natural, wild"
"嵐","あらし, アラシ","storm, tempest; uproar, hullabaloo, storm (e.g. of protest), winds (e.g. of change); pile of 3 cards of the same value in oicho-kabu"
"新た","あらた","new, fresh, novel"
"凡ゆる","あらゆる","all, every"
"表す","あらわす","to represent, to signify, to stand for; to reveal, to show, to display; to express; to make widely known"
"現れ","あらわれ","embodiment, manifestation, materialization, materialisation, expression, indication"
"現れる","あらわれる","to appear, to come in sight, to become visible, to come out, to embody, to materialize, to materialise; to be expressed (e.g. emotions), to become apparent (e.g. trends, effects)"
"有難う","ありがとう","thank you, thanks"
"有る","ある","to be, to exist, to live; to have; to be located; to be equipped with; to happen, to come about; to exist (in a completed state), to be (something unchanged in its current state)"
"或る","ある","a certain ..., some ..."
"或いは","あるいは","or, either ... or; maybe, perhaps, possibly; some ... and others ..., sometimes ... and at other times ..."
"","アルバム","album"
"泡","あわ, あぶく","bubble, foam, froth, suds, lather, head (on beer)"
"合わせる","あわせる","to match (rhythm, speed, etc.); to join together, to unite, to combine, to add up; to face, to be opposite (someone); to compare, to check with; to cause to meet (e.g. an unpleasant fate); to place together, to connect, to overlap; to mix, to combine; to put blade to blade, to fight"
"哀れ","あわれ, あはれ","pity, sorrow, grief, misery, compassion, pathos; pitiable, pitiful, pathetic, miserable; alack, alas"
"案","あん","idea, plan, proposal, suggestion, (government) bill; draft, rough copy; expectation; desk, stand"
"暗記","あんき","memorization, memorisation, learning by heart"
"安定","あんてい","stability, steadiness, consistency, equilibrium, balance, composure; stable"
"案内","あんない, あない","guidance, leading (the way), showing around; information, notice, notification; announcement (of a visitor's arrival), informing (someone) of a visitor's arrival; invitation; acquaintance, knowledge"
"","あんなに","to that extent, to that degree, so much, so"
"胃","い","stomach; Chinese ""stomach"" constellation (one of the 28 mansions)"
"","いい","good, excellent, fine, nice, pleasant, agreeable; sufficient, enough, ready, prepared; profitable (deal, business offer, etc.), beneficial; OK, all right, fine, no problem"
"","いいえ, いえ","no; you're welcome, not at all, don't mention it"
"委員","いいん","committee member"
"言う","いう, ゆう","to say, to utter, to declare; to name, to call; to go (e.g. ""the alarm went ping""), to make a noise"
"意外","いがい","unexpected, surprising"
"息","いき","breath, breathing; concord, harmony, rapport; steam (coming off hot food, tea, etc.), (water) vapor, vapour"
"行き","いき, ゆき","the way there, outbound leg, outbound trip, departing leg; bound for ...; outbound ticket"
"勢い","いきおい, いきよい","force, vigor, vigour, energy, spirit, life; influence, authority, power, might; impetus, momentum, course (of events); naturally, necessarily"
"生き物","いきもの","living thing, living creature, animal, life"
"幾つ","いくつ","how many; how old"
"幾ら","いくら","how much; something over, and something, -odd; however (much), no matter how"
"行けない","いけない","bad, wrong, naughty; must not (do, be), should not, ought not to; useless, no good, bad; hopeless, beyond hope; unfortunate, a shame, a pity; unable to drink (alcohol); so as not to ..., so that ... (won't), in case ..., for fear that ..., lest ..."
"意思","いし","intention, wish, purpose, mind (to do)"
"医師","いし","doctor, physician"
"意志","いし","will, volition, intention, intent, determination"
"意識","いしき","consciousness; becoming aware (of), awareness, sense; mano-vijnana (mental consciousness, cognizer of sensory information)"
"維持","いじ","maintenance, preservation, improvement"
"異常","いじょう","abnormal, unusual, extraordinary, remarkable, uncommon"
"椅子","いす, イス","chair, seat, stool, bench; post, position, seat, office"
"泉","いずみ","spring, fountain"
"何れ","いずれ, いづれ","which, where, who; all, both; anyway, anyhow, at any rate, in any case; sooner or later, one of these days, someday, before long, in due course, eventually"
"以前","いぜん","before, prior to, ago; the past, before, previously, former times"
"板","いた","board, plank; sheet (of metal), plate (of glass), pane, slab; cutting board, chopping board; chef (esp. of high-end Japanese cuisine), cook; stage (i.e. at a theatre)"
"悪戯","いたずら, イタズラ, いたづら","mischief, prank, trick, practical joke; mischievous, naughty; pastime, hobby; playing with (e.g. a lighter), fooling around with, messing around with, amusing oneself with, tampering with; lewd behaviour, sexual misconduct, sexual assault, molestation, rape"
"頂きます","いただきます","thank you (for the meal just served), I receive (this meal)"
"頂く","いただく","to receive, to get, to accept, to take, to buy; to eat, to drink; to be crowned with, to wear (on one's head), to have (on top); to have (as one's leader), to live under (a ruler), to install (a president); to get someone to do something"
"痛み","いたみ","pain, ache, soreness, grief, distress; damage, injury, wear, bruise, break"
"至る","いたる","to arrive at (e.g. a decision), to reach (a stage), to attain; to lead to (a place), to get to; in the extreme case of; to come, to arrive, to result in"
"偉大","いだい","great, grand, magnificent, outstanding, mighty"
"抱く","いだく","to hold in one's arms (e.g. a baby), to embrace, to hug; to have (a thought or feeling), to hold, to harbour (suspicion, doubt, etc.), to harbor, to bear (a grudge, ill will, etc.), to entertain (hope, illusions, etc.), to cherish (e.g. an ambition)"
"市","いち","market, fair"
"位置","いち","place, position, location; position, standing, status, situation"
"一時","いちじ","one o'clock; once, at one time, formerly, before; for a time, for a while, for the time being, for the moment, temporarily; a time, one time, once"
"一度に","いちどに","all at once"
"市場","いちば","(town) market, (street) market, marketplace"
"一番","いちばん","number one, first, first place; best, most; game, round, bout; as a test, as an experiment, by way of experiment, by way of trial, tentatively; song (e.g. in noh), piece"
"一家","いっか, いっけ","a family, a household, a home, one's family, whole family; (one's own) style, school; gang, (yakuza) family"
"一種","いっしゅ","a kind, a sort, a variety, a species; of sorts, something of a, a sort of; sort of, somewhat"
"一瞬","いっしゅん","instant, moment, for an instant"
"一生","いっしょう","whole life, a lifetime, all through life, one existence, a generation, an age, the whole world, the era; (the only, the greatest, etc.) of one's life"
"一層","いっそう","even more, still more, all the more, more than ever; one layer; lowest floor (of a building); rather, sooner, preferably"
"一体","いったい","(what) the heck, (why) in the world, (who) on earth; one object, one body, unity; one form, one style; one Buddhist image (or carving, etc.); generally, in general"
"一致","いっち","agreement, accord, correspondence, consistency, coincidence, match; union, unity, cooperation"
"一般","いっぱん","general, universal; ordinary, average, common, non-celebrity; the same, no different, (just) as if"
"一方","いっぽう","one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; just keeps, being inclined to ..., tending to be ..., tending to do ..., continuously ..., just keeps on ...ing, only"
"何時か","いつか","sometime, someday, one day, some time or other, the other day, in due course, in time"
"何時でも","いつでも, なんどきでも","always, all the time, at all times; (at) any time, whenever (you like)"
"何時までも","いつまでも","forever, eternally, for good, as long as one likes, indefinitely, endlessly, for a long time"
"何時も","いつも","always, all the time, at all times; never; usual, regular, habitual, customary"
"従兄弟","いとこ, じゅうけいてい","cousin (male)"
"移動","いどう","movement, transfer, migration, removal, travel; mobile, moving, traveling, travelling, roving"
"稲","いね, イネ","rice plant (Oryza sativa)"
"居眠り","いねむり","nodding off (while sitting), dozing"
"命","いのち","life, life force; lifetime, lifespan; most important thing, foundation, core; paired tattoos of the ""life"" kanji on the upper arms of a man and woman (indicating unwavering love); fate, destiny, karma"
"違反","いはん","violation, offense, offence, breach, transgression, infringement, contravention"
"衣服","いふく","clothes"
"居間","いま","living room (Western style), sitting room"
"今に","いまに","before long, even now"
"今にも","いまにも","at any moment (now), at any minute, on the verge of (doing), just about to"
"否","いや","no"
"以来","いらい","since, henceforth"
"依頼","いらい","request, commission, entrusting (with a matter); dependence, reliance"
"苛々","いらいら, イライラ","to get irritated, to get annoyed, to be on the edge, to fret, to lose patience"
"","いらっしゃい, いらしゃい","come, go, stay; welcome"
"医療","いりょう","medical treatment, medical care"
"岩","いわ","rock, boulder; crag"
"祝い","いわい, ゆわい","congratulation, congratulations, celebration, festival; congratulatory gift, present"
"祝う","いわう","to celebrate, to congratulate, to observe (a festival); to present (a gift) in celebration, to drink in celebration; to wish for (a happy future, good fortune, etc.), to pray for"
"言わば","いわば","so to speak, so to call it, as it were"
"所謂","いわゆる","what is called, what you call, what they call, so-called"
"","インク","ink"
"印刷","いんさつ","printing"
"印象","いんしょう","impression"
"引退","いんたい","retirement"
"引用","いんよう","quotation, citation, reference"
"","ウイスキー, ウィスキー, ウヰスキー, ウイスキ, ウィスキ","whisky, whiskey"
"伺う","うかがう","to call on someone, to call at a place, to pay a visit, to wait on someone; to ask, to inquire; to hear, to be told; to implore (a god for an oracle), to seek direction (from your superior); to speak to (a large crowd at a theatre, etc.)"
"受け取る","うけとる","to receive, to get, to accept; to take (someone's words or behaviour), to interpret, to understand"
"動かす","うごかす","to move, to shift, to stir, to budge, to change position; to inspire, to rouse, to move (e.g. feeling), to influence; to change, to alter, to deny; to operate, to set in motion, to get going; to mobilize (e.g. troops), to mobilise, to deploy; to manage (e.g. funds)"
"兎","うさぎ, う, ウサギ","rabbit, hare, coney, cony, lagomorph (esp. leporids)"
"牛","うし, ぎゅう, ウシ","cattle (Bos taurus), cow, bull, ox, calf; beef; Chinese ""Ox"" constellation (one of the 28 mansions)"
"失う","うしなう","to lose; to miss (a chance, opportunity); to lose (a loved one), to be bereaved of; to concede (goals, points, etc.)"
"後ろ","うしろ","back, behind, rear"
"嘘","うそ, ウソ","lie, fib, falsehood, untruth; mistake, error; unwise move, bad decision; no way!, unbelievable!, really?!"
"疑う","うたがう","to doubt, to distrust, to be suspicious of, to suspect"
"内","うち","inside, within; while (e.g. one is young), during, within (e.g. a day), in the course of; among, amongst, (out) of, between; in (secret, chaos, poverty, etc.), amidst, with (e.g. success); within oneself, one's feelings, inner thoughts; we, our company, our organization; one's home, one's family; my spouse, my husband, my wife; signed on behalf of (husband's name) by his wife; I, me; imperial palace grounds; emperor"
"宇宙","うちゅう","universe, cosmos, space"
"訴える","うったえる","to raise, to bring to (someone's attention); to appeal to (reason, emotions, etc.), to work on (one's emotions), to play on (one's sympathies); to complain; to sue (a person), to take someone to court; to resort to (e.g. arms, violence)"
"討つ","うつ","to attack, to destroy, to defeat, to conquer, to avenge"
"移す","うつす","to transfer (to a different place, group, etc.), to change, to swap, to substitute; to move to the next stage (of a plan, etc.); to divert (one's attention) to; to spend (time), to let (time) pass; to infect; to permeate something (with a color, smell, etc.)"
"唸る","うなる","to groan, to moan; to roar, to howl, to growl; to hum (engine, wind, etc.), to buzz, to whiz, to sough, to make a low, dull sound; to ooh and aah (in admiration); to sing in a strong, low voice (esp. traditional chant or recitation); to be about to burst, to overflow"
"奪う","うばう","to take (by force), to take away, to snatch, to steal, to rob (someone) of, to dispossess of, to deprive of, to usurp; to absorb (one's attention), to fascinate, to captivate, to charm, to dazzle"
"馬","うま, ウマ","horse; horse racing; promoted bishop; knight (court card in mekuri karuta and unsun karuta)"
"上手い","うまい","skillful, skilful, skilled, good, expert, clever (expression, trick, etc.), apt, appropriate; delicious, tasty, good, nice; good (deal, idea, etc.), profitable, promising, lucky, fortunate, successful, satisfactory, splendid"
"生まれ","うまれ","birth, birthplace; born in (country, month, imperial era, zodiac year, etc.)"
"梅","うめ, むめ, ウメ","Japanese apricot (Prunus mume), Japanese plum, ume, Chinese plum; lowest (of a three-tier ranking system)"
"裏切る","うらぎる","to betray, to turn traitor (to), to double-cross, to go back on, to be unfaithful (to); to disappoint, to let down"
"得る","うる","to be able to ..., can ...; to get, to acquire, to obtain, to procure, to earn, to win, to gain, to secure, to attain"
"煩い","うるさい, ウルサイ","noisy, loud; annoying, troublesome, tiresome, persistent, importunate; fussy, finicky, picky, particular, nagging, fastidious, bossy; shut up, be quiet"
"嬉しい","うれしい","happy, glad, pleased, delighted, overjoyed; joyful, delightful, gratifying, pleasant"
"売れる","うれる","to sell (well); to be well known, to be popular, to be famous"
"上","うわ","upper, upward, outer, surface, top"
"噂","うわさ","rumour, rumor, report, hearsay, gossip, common talk"
"運","うん","fortune, luck, chance"
"運転","うんてん","operation (of a machine), running, working; driving (a vehicle); use (of capital, funds, etc.), management, investment"
"運動","うんどう","exercise, physical training, workout, sports, athletics; appeal, campaign, drive, crusade, movement, lobbying; motion, movement"
"柄","え","handle, grip; stalk (of a mushroom, leaf, etc.)"
"永遠","えいえん","eternity, perpetuity, permanence, immortality"
"永久","えいきゅう","eternity, permanence, perpetuity; Eikyū era (1113.7.13-1118.4.3)"
"影響","えいきょう","influence, effect, impact"
"営業","えいぎょう","business, trade, operations; sales"
"衛星","えいせい","(natural) satellite, moon; (artificial) satellite"
"栄養","えいよう","nutrition, nourishment"
"笑顔","えがお","smiling face, smile"
"描く","えがく, かく","to draw, to paint, to sketch; to depict, to describe; to picture in one's mind, to imagine; to form a certain shape (e.g. path of an action, appearance of an object, etc.)"
"餌","えさ, え, エサ","(animal) feed, fodder, pet food; bait, lure, enticement"
"","エネルギー, エネルギ","energy; energy, strength, power, stamina, get-up-and-go; energy source, energy resource; food energy, calories"
"得る","える","to get, to earn, to acquire, to procure, to gain, to secure, to attain, to obtain, to win; to understand, to comprehend; to receive something undesirable (e.g. a punishment), to get (ill); to be able to ..., can ..."
"円","えん","yen (Japanese monetary unit); circle"
"延期","えんき","postponement, deferment, adjournment"
"演技","えんぎ","acting, performance"
"援助","えんじょ","assistance, aid, support"
"","エンジン","engine"
"演説","えんぜつ","speech, address"
"演奏","えんそう","musical performance"
"遠慮","えんりょ","reserve, constraint, restraint, modesty, diffidence, hesitation, holding back, discretion, tact, thoughtfulness; declining, refraining; forethought, foresight"
"御","お, おん","honorific/polite/humble prefix"
"老い","おい","old age, old person, the old, the aged"
"追いつく","おいつく","to catch up (with), to draw level, to pull even, to reach; to be compensated, to make up for one's losses"
"追う","おう","to chase, to run after, to pursue, to follow after; to follow (a set order, a trend, etc.); to drive out, to get rid of, to oust, to expel; to drive (e.g. a herd); to be pressed (e.g. for time)"
"王","おう","king, ruler, sovereign, monarch; tycoon, magnate, champion, master; king (of the senior player)"
"王様","おうさま","king"
"王子","おうじ","prince; subordinate Kumano shrine"
"応じる","おうじる","to respond, to satisfy, to accept, to comply with, to apply for"
"横断","おうだん","crossing (a road, river, etc.), cutting through (e.g. of a river through a town), cutting across, intersecting (e.g. a railway track); crossing (east-west), traversing, travelling across, flying across (e.g. the Pacific), sailing across; cutting horizontally, sectioning laterally"
"終える","おえる","to finish; to graduate"
"大いに","おおいに","very, very much, greatly, considerably, highly, exceedingly, a great deal, a lot, to one's heart's content"
"覆う","おおう","to cover, to hide, to conceal, to wrap, to disguise"
"大家","おおや","landlord, landlady"
"丘","おか","hill, height, knoll, rising ground; bonus points awarded to the winner at the end of a game"
"沖","おき","open sea; Okinawa"
"奥","おく","inner part, interior, back (of a drawer, one's throat, etc.), depths (e.g. of a forest), recesses (e.g. of a cave), heart, end (of a road, garden, etc.); living quarters (at the back of a house), inner room; recesses (of one's mind), bottom (of one's heart), behind (someone's words), mysteries (of an art)"
"贈る","おくる","to give (as a gift), to present; to confer, to bestow, to award"
"起こる","おこる","to occur, to happen"
"幼い","おさない","very young, little; childish, immature"
"収める","おさめる","to put (into), to put away (in), to put back (in), to keep (in), to store (in), to restore (to its place); to include (in an anthology, catalogue, etc.), to contain, to publish (in), to capture (on film); to achieve (results, success, etc.), to obtain, to get, to gain, to win, to make (a profit); to pay (fees, taxes, etc.), to deliver, to supply; to accept (a gift or money); to keep (within a limit); to offer (to a shrine, deity, etc.), to dedicate; to subdue, to suppress, to settle; to finish, to conclude, to wind up, to bring to a close"
"お喋り","おしゃべり","chattering, talk, idle talk, chat, chitchat, gossip; chatty, talkative, chatterbox, blabbermouth"
"お祖父さん","おじいさん","grandfather; male senior-citizen, old man"
"汚染","おせん","pollution, contamination"
"恐らく","おそらく","probably, (most) likely, in all likelihood, I suspect, I dare say, I'm afraid"
"恐れる","おそれる","to fear, to be afraid of"
"恐ろしい","おそろしい","terrible, dreadful, terrifying, frightening; surprising, startling, tremendous, amazing"
"お互い","おたがい","each other, one another"
"穏やか","おだやか","calm, quiet, gentle, peaceful, mild; moderate, reasonable, amicable"
"男の人","おとこのひと","man"
"劣る","おとる","to be inferior to, to be less good at, to fall behind"
"お腹","おなか","belly, abdomen, stomach"
"鬼","おに, き","ogre, demon, oni; spirit of a deceased person; ogre-like person (i.e. fierce, relentless, merciless, etc.); it (in a game of tag, hide-and-seek, etc.); Chinese ""ghost"" constellation (one of the 28 mansions); very, extremely, super-"
"お昼","おひる","lunch; noon, midday; daytime; waking up, getting up, rising"
"帯","おび","obi (kimono sash); obi (strip of paper looped around a book, CD, etc. containing information about the product); band, belt, strip; cingulum; radio or television program broadcast in the same time slot on all or most days"
"","オフィス, オフイス","office"
"溺れる","おぼれる","to struggle in the water, to sink below the surface and become unable to breathe, to (nearly) drown; to indulge in, to lose one's head over something, to be addicted, to wallow in"
"お前","おまえ, おまい","you; before (a god, nobleman, etc.), in front of"
"御目出度う","おめでとう","congratulations!, well done!, best wishes!, all the best!"
"お目にかかる","おめにかかる","to meet (someone of higher status); to be recognized (esp. by someone of higher status), to be visible, to be seen, to be noticed"
"思い出","おもいで","memories, recollections, reminiscence"
"主に","おもに","mainly, primarily, mostly, largely, chiefly"
"思わず","おもわず","unconsciously, involuntarily, instinctively, reflexively, spontaneously, unintentionally, in spite of oneself"
"親","おや","parent, parents, mother and father; dealer, banker; founder, inventor; (pet) owner; key, parent (organization), main; ancestor, forefather"
"泳ぎ","およぎ","swimming"
"凡そ","およそ","about, roughly, approximately; generally, on the whole, as a rule; completely, quite, entirely, altogether, totally, not at all (with neg. verb); outline, gist"
"及ぼす","およぼす","to exert (influence), to exercise, to cause (e.g. damage), to do (e.g. harm), to bring about (e.g. benefits), to extend, to have an effect (on)"
"居る","おる","to be (animate), to be, to exist; to be ...-ing; to (have the audacity to) do"
"下ろす","おろす","to take down, to bring down, to lower (a hand, flag, shutter, etc.), to drop (an anchor, curtain, etc.), to let down (hair), to launch (a boat); to drop off (a passenger), to let off, to unload (goods, a truck, etc.), to offload, to discharge; to withdraw (money); to use for the first time, to wear for the first time; to cut off, to fillet (fish), to grate (e.g. radish), to prune (branches); to remove (someone from a position), to oust, to drop; to clear (the table), to remove (offerings from an altar), to pass down (e.g. old clothes), to hand down; to expel from the body (e.g. worms), to abort (a fetus); to invoke (a spirit), to call down"
"終わり","おわり","end, ending, close, conclusion; end of (one's) life, death"
"音","おん","sound, noise; (speech) sound; Chinese-derived reading of a kanji"
"恩","おん","favour, favor, obligation, debt of gratitude"
"温暖","おんだん","warm, mild, temperate"
"温度","おんど","temperature"
"","オーバー, オーバ","overcoat; exceeding, going over, going beyond; exaggerated, overdone, over the top; over par; overexposure"
"可","か","acceptable, satisfactory, allowed, permitted; approval, being in favour, (a) vote in favour, aye; Pass (grade), Fair, C, D"
"課","か","lesson; section (in an organization), division, department; counter for lessons and chapters (of a book)"
"会","かい","meeting, assembly, party, gathering, conference, athletic meet; society, association, club"
"回","かい","counter for occurrences; a time, an instance; inning (baseball), round, game; episode, chapter, instalment; Hui (people); Islam"
"会員","かいいん","member, the membership"
"絵画","かいが","painting, picture"
"海外","かいがい","foreign, abroad, overseas"
"会計","かいけい","accounting, finance, account, reckoning; bill (at a restaurant), check; accountant, treasurer, paymaster, cashier; settlement (of a bill, fee, etc.), payment; economic condition"
"解決","かいけつ","settlement, solution, resolution"
"会合","かいごう","meeting, assembly, gathering; association; conjunction"
"開始","かいし","start, commencement, beginning, initiation"
"解釈","かいしゃく","interpretation, explanation, reading, construction"
"改善","かいぜん","betterment, improvement; kaizen (Japanese business philosophy of continuous improvement)"
"快適","かいてき","pleasant, agreeable, comfortable"
"回復","かいふく","restoration, recovery, rehabilitation, return, improvement; recovery (from an illness), recuperation, convalescence"
"飼う","かう","to keep (a pet or other animal), to have, to own, to raise, to rear, to feed"
"替える","かえる","to replace, to convert, to change; to exchange, to interchange, to renew; to substitute (person, staff member, player, etc.)"
"香り","かおり","aroma, fragrance, scent, smell"
"抱える","かかえる","to hold in one's arms, to carry in one's arms, to carry under one's arm, to hold (one's head) in one's hands; to have (problems, debts, etc.), to take on (a responsibility), to be burdened with (e.g. care of a family member), to have (children, etc.) to provide for; to employ, to have (on one's staff), to hire"
"価格","かかく","price, value, cost"
"係","かかり","charge, duty, person in charge, official, clerk; connection, linking"
"掛かる","かかる","to take (a resource, e.g. time or money); to hang; to come into view, to arrive; to come under (a contract, a tax); to start (engines, motors); to attend, to deal with, to handle; to have started to, to be on the verge of; to overlap (e.g. information in a manual), to cover; to (come) at; to be fastened; to be covered (e.g. with dust, a table-cloth, etc.); to be caught in; to get a call; to depend on; to begin (a task), to set about (doing), to get down to"
"罹る","かかる","to contract (a disease), to suffer from"
"化学","かがく, ばけがく","chemistry"
"輝く","かがやく","to shine, to sparkle, to twinkle, to glitter, to glisten; to light up (with happiness, hope, etc.), to beam, to gleam, to glow"
"鍵","かぎ, カギ","key; lock; key (to a problem, success, etc.), clue"
"限る","かぎる","to restrict, to limit, to confine; to be restricted to, to be limited to, to be confined to; to be best (for), to be the best plan, to be the only way (to)"
"覚悟","かくご","readiness, (mental) preparedness; resolution, determination; resignation (to one's fate)"
"確実","かくじつ","certain, sure, definite, reliable, sound, solid, safe, secure"
"隠す","かくす","to hide, to conceal"
"拡大","かくだい","expansion, extension; magnification, enlargement; escalation, spread"
"確認","かくにん","confirmation, verification, validation, review, check, affirmation, identification"
"隠れる","かくれる","to hide, to conceal oneself, to take cover; to disappear (behind), to be hidden (by), to be covered, to go out of sight; to live in seclusion, to retire (from the world); to be unknown (e.g. of a talent), to be undiscovered, to be hidden (e.g. of a meaning); to pass away (of a person of high position)"
"家具","かぐ","furniture"
"欠ける","かける","to chip, to be chipped, to break (off), to be damaged; to be missing (from a set, team, etc.), to be absent, to become lost; to be lacking (in), to be short (of), to be deficient, to be wanting (in); to wane (of the moon), to go into eclipse"
"陰","かげ","shade, shadow; behind (something), other side, back; the background, behind the scenes, behind someone's back; gloom (in someone's expression, nature, etc.), darkness"
"影","かげ","shadow, silhouette, figure, shape; reflection, image; ominous sign; light (stars, moon); trace, shadow (of one's former self); behind, background, other side"
"加減","かげん","degree, extent, amount, balance, state, condition; (health) condition, state of health; adjustment, moderation, regulation; addition and subtraction; slight sign of ..., slight state of ...; just right for ..."
"過去","かこ","the past, bygone days; one's past (that one would prefer remained secret); past (tense), preterit, preterite; previous life"
"囲む","かこむ, かごむ","to surround, to encircle, to enclose, to fence, to wall in; to besiege, to lay siege to; to play (go, shogi, etc.)"
"籠","かご, カゴ","basket (shopping, etc.), hamper, cage"
"火災","かさい","conflagration, fire"
"菓子","かし","confectionery, sweets, candy, cake"
"貸し","かし","loan, lending, hire, rental, lease; favor, favour, debt, obligation; creditor, method of lending, credit side"
"賢い","かしこい","wise, clever, smart; well-behaved (esp. children and pets), obedient, good"
"歌手","かしゅ","singer"
"家事","かじ","housework, domestic chores; family affairs, household matters"
"数","かず","number, amount"
